timestamps,X,Y,Z
1748875233.334,-15.686,10.834,6.123
1748875233.334,-14.707,10.654,5.570
1748875233.396,-13.002,9.810,4.793
1748875233.396,-11.200,8.471,4.090
1748875233.396,-7.933,6.318,2.826
1748875233.455,-3.746,4.105,0.942
1748875233.455,1.009,1.884,-1.331
1748875233.455,4.456,-0.037,-2.901
1748875233.516,5.249,-0.860,-3.230
1748875233.516,5.211,-0.703,-3.245
1748875233.516,4.396,0.060,-2.789
1748875233.582,1.944,1.697,-1.697
1748875233.582,-2.198,3.738,0.157
1748875233.582,-6.475,6.123,2.198
1748875233.637,-10.168,7.843,3.783
1748875233.637,-12.105,9.204,4.621
1748875233.637,-13.256,9.742,5.137
1748875233.695,-13.548,9.570,5.368
1748875233.695,-12.090,8.703,4.651
1748875233.695,-8.718,7.058,3.193
1748875233.754,-5.099,5.421,1.458
1748875233.754,-2.071,3.604,0.142
1748875233.754,0.643,2.041,-0.957
1748875233.817,2.557,0.718,-1.862
1748875233.817,3.873,0.209,-2.594
1748875233.817,3.656,0.531,-2.609
1748875233.877,1.824,1.436,-1.622
1748875233.877,-0.912,2.879,-0.381
1748875233.877,-3.656,4.389,0.807
1748875233.934,-6.609,6.116,2.101
1748875233.934,-9.540,7.828,3.260
1748875233.934,-11.320,8.651,4.000
1748875233.995,-11.851,8.890,4.351
1748875233.995,-10.909,8.254,4.157
1748875233.995,-9.555,7.544,3.559
1748875234.057,-7.395,6.505,2.684
1748875234.057,-4.882,5.017,1.450
1748875234.057,-1.817,3.305,-0.052
1748875234.114,0.852,1.847,-1.151
1748875234.114,2.415,0.897,-1.809
1748875234.114,2.594,1.062,-2.056
1748875234.174,1.376,1.540,-1.705
1748875234.174,-0.508,2.497,-0.688
1748875234.174,-2.587,3.836,0.434
1748875234.235,-5.196,5.398,1.622
1748875234.235,-7.836,6.669,2.684
1748875234.235,-9.383,7.701,3.447
1748875234.296,-10.139,8.105,3.836
1748875234.296,-10.176,7.858,3.664
1748875234.296,-9.196,7.305,3.185
1748875234.354,-7.753,6.535,2.594
1748875234.354,-5.727,5.540,1.667
1748875234.354,-3.365,4.105,0.568
1748875234.414,-1.316,3.073,-0.209
1748875234.414,0.082,2.086,-0.636
1748875234.414,0.785,1.936,-1.226
