timestamps,TP9,AF7,AF8,TP10,Right AUX
1748874954.024,-984.375,982.422,-871.582,-1000.000,0.000
1748874954.028,0.000,-347.656,-85.449,-464.844,0.000
1748874954.032,0.000,-1000.000,-1000.000,876.465,0.000
1748874954.036,0.000,-646.484,-754.883,-862.305,0.000
1748874954.039,0.000,790.039,664.551,177.246,0.000
1748874954.043,0.000,988.770,-972.168,-1000.000,0.000
1748874954.047,0.000,-358.398,-216.309,-473.145,0.000
1748874954.051,0.000,-1000.000,-1000.000,752.930,0.000
1748874954.055,0.000,-820.801,-868.652,-840.332,0.000
1748874954.059,0.000,460.449,416.992,175.293,0.000
1748874954.063,0.000,-789.551,-787.109,-1000.000,0.000
1748874954.067,0.000,143.555,150.391,-952.148,0.000
1748874954.071,0.000,-1000.000,-1000.000,331.055,0.000
1748874954.075,-844.727,-1000.000,-1000.000,-771.973,0.000
1748874954.079,510.254,212.891,150.391,242.188,0.000
1748874954.082,-795.898,-764.160,-770.020,-999.512,0.000
1748874954.086,149.902,142.090,250.000,-1000.000,0.000
1748874954.090,-1000.000,-1000.000,-973.145,48.828,0.000
1748874954.094,-1000.000,-1000.000,-1000.000,-776.855,0.000
1748874954.098,150.391,-0.488,-190.918,430.664,0.000
1748874954.102,-758.789,-770.020,-817.871,-898.438,0.000
1748874954.106,200.195,226.074,378.418,-1000.000,0.000
1748874954.110,-1000.000,-996.582,-942.871,-131.836,0.000
1748874954.114,-1000.000,-1000.000,-1000.000,-857.422,0.000
1748874954.118,-56.641,-178.711,-210.449,675.781,0.000
1748874954.122,-787.598,-817.383,-932.129,-695.801,0.000
1748874954.125,408.203,476.074,836.914,-1000.000,0.000
1748874954.129,-910.645,-889.648,-453.125,-195.801,0.000
1748874954.133,-1000.000,-1000.000,-1000.000,-954.102,0.000
1748874954.137,-234.375,-225.098,-179.688,928.223,0.000
1748874954.141,-888.672,-905.762,-988.281,-366.211,0.000
1748874954.145,650.879,766.602,-960.449,-1000.000,0.000
1748874954.149,-728.027,-604.492,-129.395,-171.387,0.000
